地方频道,#genre#
开平生活,http://livepk.chinamcache.com/kpx/kpzb01.m3u8?auth_key=1561968703-0-0-dbda38cd37b5ae987ae9b6de3bec9ae0
广东珠江台,rtp://239.10.0.63:1025#http://nclive.grtn.cn/zjpd/sd/live.m3u8
广东经济科教,rtp://239.10.0.46:1025#http://nclive.grtn.cn/tvs1hd/hd/live.m3u8
广东体育,rtp://239.10.0.47:1025#vjms://121.14.222.75:8500:3502/live/cid=336#vjms://23.237.33.155:8500:3502/live/cid=336#http://104.250.154.42:8080/ZZ_guangdongtiyu/ZZ_guangdongtiyu.m3u8#http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=8&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1#http://116.199.5.51:8114/index.m3u8?Fsv_chan_hls_se_idx=8&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
广东公共,http://nclive.grtn.cn/ggpd/sd/live.m3u8
广东新闻,http://nclive.grtn.cn/xwpd/sd/live.m3u8
南方卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225738/1/index.m3u8?fmt=ts2hls
广东综艺,http://nclive.grtn.cn/4K/sd/live.m3u8
北京文艺,http://iptv.pdsu.edu.cn/hls/btv2hd.m3u8
北京影视,http://iptv.pdsu.edu.cn/hls/btv4hd.m3u8
北京新闻,http://iptv.pdsu.edu.cn/hls/btv9hd.m3u8
BTV冬奥纪实,http://39.135.15.70:6610/PLTV/88888888/224/3221225768/1/index.m3u8?fmt=ts2hls#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225944/1.m3u8
上海纪实,http://39.135.15.70:6610/PLTV/88888888/224/3221225767/1/index.m3u8?fmt=ts2hls#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225946/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226958/1.m3u8
五星体育,http://101.75.248.85/cache.ott.bestlive.itv.cmvideo.cn:80/000000001000/5000000010000017540/index.m3u8?channel-id=bestzb&Contentid=5000000010000017540&livemode=1&stbId=004003FF0017301364008422F151297C&userToken=22da83031e59d012e61af366ad30871e02vv&usergroup=g02020000000&version=1.0&owaccmark=5000000010000017540&owchid=bestzb&owsid=4493204831455228383&AuthInfo=N%2biD7%2bHgi9LcszGFRGa51uAqiHNpkS5d0%2fEIXqMyy8J6GNpZ%2bE47AWi696WsOzmj7u8gynrDaeemmd3KgHvW7jm8s%2fkPykV1GmMdpMkc7doBK82U9CVAXx34x1%2fYjl4A
上海法制天地,http://39.134.52.153/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225831/1.m3u8
上海教育,http://live.setv.sh.cn/slive/shedu02_1200k.m3u8
上海外滩,http://bililive.kksmg.com/hls/sdi7000/playlist.m3u8
东方财经,http://w1.livecdn.yicai.com/hls/live/dftv_sd/live.m3u8
第一财经,http://player.ioioz.com/18/tv.php?tv=shydbst&id=dycjhd
上海金山电视台,http://live.mudu.tv/watch/4zbn2f.m3u8
金鹰纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226737/1.m3u8
欢乐剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226729/1.m3u8
都市剧场,http://112.17.40.140/PLTV/88888888/224/3221226825/index.m3u8
厦门一套,http://112.50.243.8/PLTV/88888888/224/3221226814/3.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226814/1.m3u8
厦门二套,http://112.50.243.8/PLTV/88888888/224/3221226777/3.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226777/1.m3u8
厦门三套,http://112.50.243.8/PLTV/88888888/224/3221226760/3.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226760/1.m3u8
厦门四套,http://112.50.243.8/PLTV/88888888/224/3221226764/3.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226764/1.m3u8
武汉新闻综合,http://stream.appwuhan.com/1tzb/sd/live.m3u8
武汉文体,http://stream.appwuhan.com/5tzb/sd/live.m3u8
武汉科技生活,http://stream.appwuhan.com/3tzb/sd/live.m3u8
武汉外语,http://stream.appwuhan.com/6tzb/sd/live.m3u8
武汉少儿,http://stream.appwuhan.com/7tzb/sd/live.m3u8
贵阳1HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225743/1/index.m3u8?fmt=ts2hls#http://39.135.15.70:6610/PLTV/88888888/224/3221226037/1/index.m3u8?fmt=ts2hls
Max极速汽车,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226140/1.m3u8
体育赛事,http://39.135.15.70:6610/PLTV/88888888/224/3221226081/1/index.m3u8?fmt=ts2hls
毕节1高清,http://39.135.15.70:6610/PLTV/88888888/224/3221226002/1/index.m3u8?fmt=ts2hls
毕节2高清,http://39.135.15.70:6610/PLTV/88888888/224/3221226021/1/index.m3u8?fmt=ts2hls
BesTV 4k,http://117.148.187.37/PLTV/88888888/224/3221226718/index.m3u8
纯享 4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/index.m3u8
CCTV 4K,http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226758/index.m3u8
爱上4K,http://1.180.237.9/live.aishang.ctlcdn.com/00000110240282_1/encoder/0/playlist.m3u8
央视,#genre#
CCTV-1综合,http://211.137.115.110:8080/gitv_live/G_CCTV-1-MD/G_CCTV-1-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221225726/1/index.m3u8?fmt=ts2hls#http://223.110.243.138/PLTV/1/224/3221227467/index.m3u8#http://223.110.245.138/PLTV/1/224/3221227467/index.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-1/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV-2财经,http://211.137.115.110:8080/gitv_live/G_CCTV-2-MD/G_CCTV-2-MD.m3u8?p=GITV&area=SAXYD#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV-3综艺,http://39.135.15.70:6610/PLTV/88888888/224/3221226008/1/index.m3u8?fmt=ts2hls#http://39.135.34.151:18890/000000001000/1000000001000011218/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1#http://ott.js.chinamobile.com/PLTV/3/224/3221227415/index.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV-4中文国际,http://211.137.115.110:8080/gitv_live/G_CCTV-4-MD/G_CCTV-4-MD.m3u8?p=GITV&area=SAXYD#http://39.135.15.70:6610/PLTV/88888888/224/3221225744/1/index.m3u8?fmt=ts2hls#http://223.110.245.138/PLTV/1/224/3221227549/index.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV-5体育,http://39.135.15.70:6610/PLTV/88888888/224/3221226024/1/index.m3u8?fmt=ts2hls#http://39.135.34.146:18890/000000001000/1000000001000004794/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV-5+体育赛事,http://211.137.115.110:8080/gitv_live/G_CCTV-5PLUS-MD/G_CCTV-5PLUS-MD.m3u8?p=GITV&area=SAXYD#http://223.110.245.168/PLTV/1/224/3221227502/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225939/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV-6电影,http://39.135.15.70:6610/PLTV/88888888/224/3221226011/1/index.m3u8?fmt=ts2hls#http://223.110.243.138/PLTV/1/224/3221227505/index.m3u8#http://39.135.34.140:18890/000000001000/1000000001000016466/1.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1#http://117.156.28.57/PLTV/88888888/224/3221225634/index.m3u8
CCTV-7国防军事,http://112.50.243.8/PLTV/88888888/224/3221225805/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225927/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV-8电视剧,http://39.135.15.70:6610/PLTV/88888888/224/3221226005/1/index.m3u8?fmt=ts2hls#http://223.110.243.135/PLTV/1/224/3221227473/index.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV-9记录,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225929/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225820/1.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000028286&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-10科教,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225931/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV-11戏曲,http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8#http://117.169.120.140:8080/live/cctv-11/.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000002000019789&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-12社会与法,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225932/1.m3u8#http://120.233.115.38/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225731/index.m3u8#http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001640&livemode=1&stbId=00000250001B50800001B401420BC069&userToken=&usergroup=
CCTV-13新闻,http://39.135.15.70:6610/PLTV/88888888/224/3221225748/1/index.m3u8?fmt=ts2hls#http://120.221.199.88/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
